num_authors,num_maintainers,num_roles,has_organization,has_license,yanked,has_sdist,has_sig,num_dependencies,has_requires_python,num_releases,days_since_first_release,days_since_last_release,dev_status_level,description_length,num_classifiers,num_project_urls,has_homepage,num_wheel_dists,total_dist_size_kb,package,version,label
0,0,2,0,1,0,1,0,40,1,74,2786,294,0,2827,3,1,1,1,339,vyper,0.2.2,1
1,0,1,0,0,0,1,0,45,1,96,2280,26,0,12171,3,1,1,1,26257,label-studio,0.9.1,1
1,0,3,0,1,0,1,0,0,0,1565,3875,6,0,0,6,2,1,1,13470,homeassistant,0.47.1,1
1,0,1,0,1,0,1,0,0,0,5,1906,1772,2,0,6,1,1,0,83,pywasm3,0.0.1,1
1,0,0,1,1,0,1,0,3,1,429,5806,2,3,1880,17,5,1,1,15517,django,2.1.9,1
1,0,5,0,1,0,1,0,0,0,224,6191,14,1,4000,11,2,1,0,31,celery,0.1.7,1
1,0,3,0,1,0,1,0,0,0,68,7101,11,3,1020,9,2,1,0,5874,pygments,1.5,1
0,0,1,0,1,0,1,0,39,1,40,3026,791,1,7967,7,1,1,1,659,flask-unchained,0.6.3,1
0,0,1,0,1,0,1,0,19,1,486,1262,6,0,3358,5,2,1,1,227,langchain,0.0.47,1
1,0,1,0,1,0,1,0,20,0,106,4410,132,2,3281,24,1,1,1,5408,pywb,2.6.0b1,1
1,0,2,0,1,0,1,0,0,0,54,4638,118,0,1422,7,2,1,0,8,flask-cors,1.1.3,1
1,0,1,0,1,0,1,0,3,0,9,1849,1797,1,856,11,1,1,1,14,d8s-archives,0.1.0,1
1,0,1,0,1,0,1,0,0,0,252,4268,12,3,2930,10,2,1,0,38,alerta-server,4.7.26,1
1,0,2,0,0,0,1,0,0,0,50,4637,1256,0,461,0,1,1,0,3326,psiturk,2.3.0,1
0,0,2,0,1,0,1,0,2,1,1779,1919,0,2,20690,11,2,1,1,7573,projen,0.16.27,1
1,0,0,1,1,0,1,0,530,1,282,3256,1,3,24666,11,2,1,1,8281,apache-airflow,1.10.7rc2,1
1,0,1,0,0,0,1,0,0,0,9,2625,1766,2,5524,10,1,1,0,340,django-crm,0.6.0,1
1,0,5,0,1,0,1,0,6,0,124,2303,0,3,2207,12,3,1,1,279,pytigergraph,1.0.2,1
1,0,5,0,1,0,1,0,0,0,559,3187,699,0,9,0,1,1,0,389,indy-node,1.9.0.dev1014,1
1,0,0,1,1,0,1,0,16,0,755,5534,22,3,2017,28,2,1,2,1978,trytond,4.6.10,1
1,0,3,0,1,0,1,0,12,1,1565,3875,6,2,0,8,2,1,1,9277,homeassistant,0.67.1,1
1,1,2,0,1,0,1,0,10,1,1069,2596,1,0,3296,5,3,1,1,77,strawberry-graphql,0.31.0,1
1,0,1,0,1,0,1,0,0,0,802,4563,0,3,1413,15,1,1,1,921,netius,1.17.39,1
1,0,2,0,1,0,1,0,0,0,39,4005,316,3,1264,7,2,1,0,6,python-jose,0.1.3,1
1,0,3,0,1,0,1,0,0,0,109,3717,273,0,755,2,1,1,0,8613,ganga,8.5.0,1
1,0,1,0,1,0,1,0,0,0,378,4791,16,3,0,23,1,1,0,2407,nuitka,0.6.10.2,1
